,EI,jd
0,12.60635828585359,56366.31
1,12.149129288041529,56366.409999999996
2,12.590956688231577,56366.509999999995
3,12.604326201543591,56366.61
4,12.719545500313295,56366.71
5,13.112042520371942,56366.81
6,12.696929597445108,56366.909999999996
7,12.597888917945298,56367.009999999995
8,12.529160293041064,56367.11
9,12.829376408554472,56367.21
10,12.644875884980829,56367.31
11,12.70838879386007,56367.409999999996
12,12.68869899812735,56367.509999999995
13,12.576352357131922,56367.61
14,12.75937399662683,56367.71
15,12.86072771810637,56367.81
16,12.519981243951802,56367.909999999996
17,12.581696920286983,56368.009999999995
18,12.477840874789566,56368.11
19,12.663734477515149,56368.21
20,12.527084755540548,56368.31
21,13.30805308861516,56368.409999999996
22,12.840300948007883,56368.509999999995
23,12.475349084574548,56368.61
24,12.827265323058171,56368.71
25,12.593704842108552,56368.81
26,12.399561802939484,56368.909999999996
27,12.453634033261176,56369.009999999995
28,13.293101135136826,56369.11
29,12.54088566834362,56369.21
30,12.644061242446622,56369.31
31,12.661846455665502,56369.409999999996
32,12.579399509748937,56369.509999999995
33,12.444645537080493,56369.61
34,12.596646376210046,56369.71
35,13.142098308224902,56369.81
36,12.61217802134655,56369.909999999996
37,12.889978230520132,56370.009999999995
38,12.388293738639245,56370.11
39,12.958447807060816,56370.21
40,12.659379317143129,56370.31
41,12.565590926334982,56370.409999999996
42,12.401372394875256,56370.509999999995
43,12.613650508864282,56370.61
44,12.933459976920311,56370.71
45,12.742183876729861,56370.81
46,12.844412339812909,56370.909999999996
47,12.888571479701268,56371.009999999995
48,12.488191142857483,56371.11
49,12.133915159697752,56371.21
50,12.842934838346364,56371.31
51,13.333054826539456,56371.409999999996
52,12.62886227043999,56371.509999999995
53,12.467747998303821,56371.61
54,12.801897684334653,56371.71
55,12.403743661241304,56371.81
56,12.36661341491464,56371.909999999996
57,12.680876250358804,56372.009999999995
58,13.095551467506716,56372.11
59,12.465978222346944,56372.21
60,12.762772139178201,56372.31
61,12.72773811141281,56372.409999999996
62,12.889748810064347,56372.509999999995
63,12.830322166233147,56372.61
64,12.365408378279087,56372.71
65,12.766864529208023,56372.81
66,12.551125275065116,56372.909999999996
67,12.879341492348837,56373.009999999995
68,12.464140569832999,56373.11
69,12.966820518606674,56373.21
70,12.727870201949651,56373.31
71,12.435966033206293,56373.409999999996
72,12.265189944829354,56373.509999999995
73,12.601190024612885,56373.61
74,13.208233498992625,56373.71
75,12.495487605687655,56373.81
76,13.095515459622781,56373.909999999996
77,12.802782329206423,56374.009999999995
78,12.533423916518338,56374.11
79,12.016742178246892,56374.21
80,12.923563518088638,56374.31
81,12.909364204702195,56374.409999999996
82,12.524845495116205,56374.509999999995
83,12.81013011719133,56374.61
84,12.685818086063769,56374.71
85,12.52737037084828,56374.81
86,12.804895123208462,56374.909999999996
87,12.823312316619322,56375.009999999995
88,12.659302052128076,56375.11
89,12.54144048668044,56375.21
90,12.716389826372374,56375.31
91,12.737022348585072,56375.409999999996
92,13.042044296449188,56375.509999999995
93,12.86186310349729,56375.61
94,12.238601811464465,56375.71
95,12.30559110383871,56375.81
96,12.419670975808604,56375.909999999996
97,12.939132122696257,56376.009999999995
98,12.757119962616763,56376.11
99,13.149438167270212,56376.21
