2455260.596505 	 16.9367 	 0.0389 
2455260.638646 	 16.9523 	 0.0461 
2455261.518206 	 17.0191 	 0.0465 
2455261.560972 	 16.9644 	 0.0497 
2455262.581308 	 16.9968 	 0.0539 
2455262.650000 	 16.9938 	 0.0417 
2455263.690486 	 16.9799 	 0.0419 
2455263.763079 	 16.9974 	 0.0548 
2455264.521157 	 17.0384 	 0.0420 
2455264.576181 	 16.9993 	 0.0537 
2455265.521238 	 17.0349 	 0.0555 
2455266.573102 	 16.9903 	 0.0442 
2455266.654826 	 16.9961 	 0.0405 
2455267.585567 	 17.0160 	 0.0642 
2455267.663727 	 17.0370 	 0.0487 
2455268.518009 	 17.0221 	 0.0447 
2455268.579560 	 16.9961 	 0.0408 
2455269.517350 	 17.0227 	 0.0395 
2455269.588843 	 17.0206 	 0.0481 
2455271.509155 	 16.9011 	 0.0581 
2455271.549861 	 16.9586 	 0.0531 
2455271.592176 	 16.8996 	 0.0505 
2455271.629583 	 16.9584 	 0.0406 
2455271.676620 	 16.8251 	 0.0509 
2455273.549062 	 16.9599 	 0.0375 
2455273.597303 	 16.9435 	 0.0417 
2455274.516470 	 16.9852 	 0.0445 
2455274.569734 	 16.9695 	 0.0359 
2455275.514456 	 16.9617 	 0.0472 
2455275.567801 	 16.9654 	 0.0362 
2455276.513600 	 16.9713 	 0.0484 
2455276.566898 	 16.9406 	 0.0445 
2455277.512905 	 16.9547 	 0.0467 
2455277.571933 	 16.9311 	 0.0448 
2455279.532894 	 16.9159 	 0.0359 
2455279.581354 	 16.8742 	 0.0354 
2455280.527292 	 16.9645 	 0.0477 
2455280.568877 	 16.9639 	 0.0425 
2455281.509259 	 16.9272 	 0.0490 
2455281.550336 	 16.9199 	 0.0465 
2455284.520660 	 16.9285 	 0.0434 
2455284.563171 	 16.9417 	 0.0468 
2455650.495243   16.8301         0.0398
2455642.576863   16.7329         0.0371
2455643.491296   16.7301         0.0406
2455643.495035   16.7881         0.0370
2455643.575926   16.7461         0.0359
2455643.579664   16.7387         0.0370
2455644.490718   16.7536         0.0336
2455644.494468   16.7926         0.0361
2455644.574977   16.6653         0.0428
2455644.578704   16.6960         0.0436
2455645.614456   16.7423         0.0326
2455645.618194   16.7693         0.0333
2455645.698785   16.7838         0.0319
2455645.702523   16.7606         0.0308
2455646.499711   16.8114         0.0265
2455646.611817   16.7393         0.0362
2455646.615556   16.7925         0.0326
2455647.493634   16.7494         0.0353
2455647.497373   16.7728         0.0386
2455647.577593   16.7445         0.0334
2455647.581331   16.7573         0.0329
2455648.518391   16.7900         0.0308
2455648.522118   16.7878         0.0383
2455648.605891   16.7326         0.0388
2455648.609618   16.7676         0.0371
2455649.492014   16.8005         0.0286
2455649.495764   16.8198         0.0331
2455649.579757   16.8135         0.0305
2455649.583484   16.8250         0.0307
2455650.491505   16.8112         0.0384
2455650.574826   16.7776         0.0405
2455650.578576   16.8226         0.0346
2455658.597199 	 16.8613 	 0.0339 
2455658.600938 	 16.9391 	 0.0297 
2455659.486516 	 16.8579 	 0.0420 
2455659.490243 	 16.8627 	 0.0361 
2455659.573206 	 16.8535 	 0.0379 
2455660.489803 	 16.8895 	 0.0389 
2455660.493530 	 16.8967 	 0.0338 
2455660.577917 	 16.8671 	 0.0349 
2455663.573264 	 16.8931 	 0.0383 
2455669.476667 	 16.7333 	 0.0408 
2455669.480394 	 16.7930 	 0.0353 
2455670.475995 	 16.7762 	 0.0387 
2455670.479734 	 16.7741 	 0.0340 
2455671.475185 	 16.7648 	 0.0293 
2455671.478912 	 16.7340 	 0.0296 
2455671.562986 	 16.7551 	 0.0346 
2455672.474456 	 16.7571 	 0.0359 
2455672.478183 	 16.7408 	 0.0291 
2455672.561586 	 16.7293 	 0.0340 
2455674.483588 	 16.7627 	 0.0331 
2455674.487326 	 16.7083 	 0.0360 
2455674.571794 	 16.7243 	 0.0306 
2455675.490822 	 16.7180 	 0.0371 
2455675.499444 	 16.7083 	 0.0350 
2455675.578611 	 16.6623 	 0.0343 
2455676.471030 	 16.6278 	 0.0436 
2455676.474757 	 16.6677 	 0.0388 
2455676.559363 	 16.6166 	 0.0406 
2455677.471701 	 16.7210 	 0.0360 
2455677.475428 	 16.6763 	 0.0355 
2455677.561840 	 16.6501 	 0.0376 
2455679.471701 	 16.6179 	 0.0330 
2455679.475440 	 16.6665 	 0.0362 
2455680.470799 	 16.6297 	 0.0329 
2455680.474525 	 16.6561 	 0.0332 
2455681.470937 	 16.6276 	 0.0360 
2455681.474687 	 16.6551 	 0.0357 
2455682.521424   16.6012         0.0333
2455683.468241   16.5807         0.0372
2455689.554306   16.6450         0.0421
2455689.556655   16.6492         0.0449
2455695.462824   16.5834         0.0352
2455695.465174   16.6186         0.0377
2455695.467558   16.5569         0.0414
2455698.463484   16.5438         0.0372
2455698.465822   16.5264         0.0364
2455699.462037   16.5418         0.0358
2455699.464421   16.5539         0.0376
2455700.461134   16.5277         0.0361
2455700.463495   16.5287         0.0384
2455701.529850   16.5345         0.0362
2455702.460278   16.5015         0.0349
2455702.462627   16.5271         0.0353
2455702.464965   16.5257         0.0334
2455706.459734   16.5035         0.0383
2455706.462072   16.5160         0.0353
2455706.464433   16.5093         0.0333
2455707.478600   16.5388         0.0260
